app,version,sdk_min,method,type,checked_version,true_apis,false_apis,only_in_true_apis,only_in_false_apis,message,modified_files
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.ActivityUtils.isFlowEnabled(Landroid/content/Context;)Z,<=,13,"",android.content.res.Resources.getIdentifier(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)I&android.content.res.Resources.getBoolean(I)Z&android.content.Context.getPackageName()Ljava/lang/String;&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I&android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;&android.content.Context.getString(I)Ljava/lang/String;,"",android.content.res.Resources.getIdentifier(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)I&android.content.res.Resources.getBoolean(I)Z&android.content.Context.getPackageName()Ljava/lang/String;&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I&android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;&android.content.Context.getString(I)Ljava/lang/String;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.ActivityUtils.startHomeActivity(Landroid/content/Context;Ljava/util/Map;IZ)Z,<=,10,"",android.content.Intent.addFlags(I)Landroid/content/Intent;,"",android.content.Intent.addFlags(I)Landroid/content/Intent;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.AppUtils.launchApp(Landroid/content/Context;Z)V,<=,23,"",android.content.Intent.addFlags(I)Landroid/content/Intent;,"",android.content.Intent.addFlags(I)Landroid/content/Intent;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.CameraUtils.isAutoFocusSupported(Landroid/content/Context;)Z,<=,6,"",android.content.pm.PackageManager.hasSystemFeature(Ljava/lang/String;)Z&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,"",android.content.pm.PackageManager.hasSystemFeature(Ljava/lang/String;)Z&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.CreditCardScannerUtil.isAvailable()Z,<=,13,"",android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;,"",android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.DeviceUtils.isLargeScreenDevice()Z,<=,16,android.view.WindowManager.getDefaultDisplay()Landroid/view/Display;&android.view.Display.getMetrics(Landroid/util/DisplayMetrics;)V,android.view.Display.getRealMetrics(Landroid/util/DisplayMetrics;)V&android.view.WindowManager.getDefaultDisplay()Landroid/view/Display;,android.view.Display.getMetrics(Landroid/util/DisplayMetrics;)V,android.view.Display.getRealMetrics(Landroid/util/DisplayMetrics;)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.GiftCardScannerUtil.isAvailable(Landroid/content/Context;)Z,<=,13,"",android.hardware.Camera.getCameraInfo(ILandroid/hardware/Camera$CameraInfo;)V&android.hardware.Camera$CameraInfo.<init>()V&android.content.pm.PackageManager.hasSystemFeature(Ljava/lang/String;)Z&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.hardware.Camera.getNumberOfCameras()I&android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,"",android.hardware.Camera.getCameraInfo(ILandroid/hardware/Camera$CameraInfo;)V&android.hardware.Camera$CameraInfo.<init>()V&android.content.pm.PackageManager.hasSystemFeature(Ljava/lang/String;)Z&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.hardware.Camera.getNumberOfCameras()I&android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.GiftCardScannerUtil.isAvailable(Landroid/content/Context;)Z,<=,6,android.hardware.Camera.getCameraInfo(ILandroid/hardware/Camera$CameraInfo;)V&android.hardware.Camera$CameraInfo.<init>()V&android.hardware.Camera.getNumberOfCameras()I&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,"",android.hardware.Camera.getCameraInfo(ILandroid/hardware/Camera$CameraInfo;)V&android.hardware.Camera$CameraInfo.<init>()V&android.hardware.Camera.getNumberOfCameras()I&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,"",,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.UIUtils.convertUnsupportedCharacter(Landroid/content/Context;Ljava/lang/String;Lcom/amazon/mShop/util/UIUtils$CharacterColor;)Ljava/lang/CharSequence;,<=,10,android.text.SpannableString.setSpan(Ljava/lang/Object;III)V&android.text.SpannableString.<init>(Ljava/lang/CharSequence;)V&android.text.style.ImageSpan.<init>(Landroid/content/Context;I)V,"",android.text.SpannableString.setSpan(Ljava/lang/Object;III)V&android.text.SpannableString.<init>(Ljava/lang/CharSequence;)V&android.text.style.ImageSpan.<init>(Landroid/content/Context;I)V,"",,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.util.UIUtils.setAlpha(Landroid/view/View;F)V,<=,10,"",android.view.View.invalidate()V&android.view.View.setAlpha(F)V,"",android.view.View.invalidate()V&android.view.View.setAlpha(F)V,,0
