app	version	api	times
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.ViewGroupUtils$ViewGroupUtilsImplHoneycomb.<init>()V	1
cn.amazon.mShop.android	8.5.0.600	android.view.View.hasTransientState()Z	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.widget.EdgeEffectCompat.draw(Landroid/graphics/Canvas;)Z	8
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.hq$a.E(Z)Lcom/google/android/gms/internal/hq$a;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.Toolbar.setNavigationContentDescription(Ljava/lang/CharSequence;)V	3
cn.amazon.mShop.android	8.5.0.600	android.util.SparseArray.indexOfKey(I)I	4
cn.amazon.mShop.android	8.5.0.600	android.widget.ArrayAdapter.<init>(Landroid/content/Context;ILjava/util/List;)V	6
cn.amazon.mShop.android	8.5.0.600	com.google.gson.stream.MalformedJsonException.<init>(Ljava/lang/String;)V	2
cn.amazon.mShop.android	8.5.0.600	com.android.volley.toolbox.DiskBasedCache.writeInt(Ljava/io/OutputStream;I)V	3
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.DefaultItemAnimator.cancelAll(Ljava/util/List;)V	4
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.AppCompatDrawableManager.createSeekbarThumbColorStateList(Landroid/content/Context;)Landroid/content/res/ColorStateList;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.SearchView.launchQuerySearch(ILjava/lang/String;Ljava/lang/String;)V	1
cn.amazon.mShop.android	8.5.0.600	android.animation.ValueAnimator.end()V	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.Sets.equalsImpl(Ljava/util/Set;Ljava/lang/Object;)Z	2
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$DescriptorProto$ExtensionRange.<init>(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)V	1
cn.amazon.mShop.android	8.5.0.600	android.widget.TextView.onTouchEvent(Landroid/view/MotionEvent;)Z	5
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.NotificationBuilderWithActions.addAction(Landroid/support/v4/app/NotificationCompatBase$Action;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.api.Status.<init>(ILjava/lang/String;Landroid/app/PendingIntent;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.view.menu.MenuBuilder.setHeaderTitleInt(Ljava/lang/CharSequence;)Landroid/support/v7/view/menu/MenuBuilder;	2
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$FileDescriptorProto$Builder.getMessageType(I)Lcom/google/protobuf/DescriptorProtos$DescriptorProto;	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.games.multiplayer.ParticipantRef.<init>(Lcom/google/android/gms/common/data/DataHolder;I)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.common.base.Joiner$MapJoiner.appendTo(Ljava/lang/StringBuilder;Ljava/util/Iterator;)Ljava/lang/StringBuilder;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView$LayoutManager.onAdapterChanged(Landroid/support/v7/widget/RecyclerView$Adapter;Landroid/support/v7/widget/RecyclerView$Adapter;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$DescriptorProto$ExtensionRange.isInitialized()Z	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.result.DataSourcesResult.b(Lcom/google/android/gms/fitness/result/DataSourcesResult;)Z	1
cn.amazon.mShop.android	8.5.0.600	com.android.volley.toolbox.ImageLoader$3.<init>(Lcom/android/volley/toolbox/ImageLoader;Ljava/lang/String;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$SourceCodeInfo$Builder.<init>(Lcom/google/protobuf/GeneratedMessage$BuilderParent;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.BottomSheetDialog$1.<init>(Landroid/support/design/widget/BottomSheetDialog;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.MapMakerInternalMap$Segment.postReadCleanup()V	10
cn.amazon.mShop.android	8.5.0.600	android.content.ContentProviderOperation$Builder.withValueBackReference(Ljava/lang/String;I)Landroid/content/ContentProviderOperation$Builder;	11
cn.amazon.mShop.android	8.5.0.600	android.support.v4.widget.NestedScrollView.access$000(Landroid/support/v4/widget/NestedScrollView;)I	4
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView$SmoothScroller.onTargetFound(Landroid/view/View;Landroid/support/v7/widget/RecyclerView$State;Landroid/support/v7/widget/RecyclerView$SmoothScroller$Action;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.AppCompatCompoundButtonHelper.setSupportButtonTintMode(Landroid/graphics/PorterDuff$Mode;)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.auth.AccountChangeEventCreator.a(Lcom/google/android/gms/auth/AccountChangeEvent;Landroid/os/Parcel;I)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.util.ContainerHelpers.equal(Ljava/lang/Object;Ljava/lang/Object;)Z	3
cn.amazon.mShop.android	8.5.0.600	android.view.Window.clearFlags(I)V	5
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.ValueAnimatorCompat$Impl$AnimatorListenerProxy.onAnimationEnd()V	3
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.AbstractMessage$Builder.newUninitializedMessageException(Lcom/google/protobuf/Message;)Lcom/google/protobuf/UninitializedMessageException;	25
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.MapMakerInternalMap$Strength$2.<init>(Ljava/lang/String;I)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.images.WebImage.getVersionCode()I	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.SmallSortedMap.ensureEntryArrayMutable()V	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.base.Joiner.<init>(Ljava/lang/String;)V	2
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView$Recycler.offsetPositionRecordsForRemove(IIZ)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.drive.internal.bd.a(Lcom/google/android/gms/drive/internal/UpdateMetadataRequest;Landroid/os/Parcel;I)V	1
cn.amazon.mShop.android	8.5.0.600	android.telephony.TelephonyManager.getNetworkOperatorName()Ljava/lang/String;	9
cn.amazon.mShop.android	8.5.0.600	com.google.gson.TreeTypeAdapter.delegate()Lcom/google/gson/TypeAdapter;	2
cn.amazon.mShop.android	8.5.0.600	android.support.v7.view.menu.MenuItemImpl.isVisible()Z	6
cn.amazon.mShop.android	8.5.0.600	android.support.v4.widget.PopupWindowCompat$PopupWindowImpl.showAsDropDown(Landroid/widget/PopupWindow;Landroid/view/View;III)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.app.AlertController.access$700(Landroid/support/v7/app/AlertController;)Landroid/os/Handler;	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.Snackbar.make(Landroid/view/View;Ljava/lang/CharSequence;I)Landroid/support/design/widget/Snackbar;	2
cn.amazon.mShop.android	8.5.0.600	android.widget.TextView.getText()Ljava/lang/CharSequence;	22
cn.amazon.mShop.android	8.5.0.600	android.view.accessibility.AccessibilityRecord.setScrollX(I)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.MapMakerInternalMap$Segment.recordExpirationTime(Lcom/google/common/collect/MapMakerInternalMap$ReferenceEntry;J)V	3
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$EnumOptions.getDefaultInstanceForType()Lcom/google/protobuf/DescriptorProtos$EnumOptions;	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.FloatingActionButton.wrapOnVisibilityChangedListener(Landroid/support/design/widget/FloatingActionButton$OnVisibilityChangedListener;)Landroid/support/design/widget/FloatingActionButtonImpl$InternalVisibilityChangedListener;	2
cn.amazon.mShop.android	8.5.0.600	android.view.ActionProvider.onPerformDefaultAction()Z	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.cast.c.a(Lcom/google/android/gms/cast/LaunchOptions;Landroid/os/Parcel;I)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.view.ViewCompat.setAccessibilityDelegate(Landroid/view/View;Landroid/support/v4/view/AccessibilityDelegateCompat;)V	8
cn.amazon.mShop.android	8.5.0.600	android.app.job.JobInfo.getId()I	1
cn.amazon.mShop.android	8.5.0.600	dalvik.system.DexFile.loadDex(Ljava/lang/String;Ljava/lang/String;I)Ldalvik/system/DexFile;	3
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.FragmentHostCallback.doLoaderDestroy()V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.games.quest.Quest.getBannerImageUri()Landroid/net/Uri;	5
cn.amazon.mShop.android	8.5.0.600	android.widget.Scroller.<init>(Landroid/content/Context;Landroid/view/animation/Interpolator;)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.wallet.InstrumentInfo.getVersionCode()I	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.NavigationView.inflateMenu(I)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.drive.query.internal.c.aM(Landroid/os/Parcel;)Lcom/google/android/gms/drive/query/internal/FieldWithSortOrder;	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$FieldDescriptorProto$Label.valueOf(I)Lcom/google/protobuf/DescriptorProtos$FieldDescriptorProto$Label;	1
cn.amazon.mShop.android	8.5.0.600	android.content.res.Resources.updateConfiguration(Landroid/content/res/Configuration;Landroid/util/DisplayMetrics;)V	3
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.UnknownFieldSet.getSerializedSize()I	27
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.mj.f(Ljava/util/List;)Ljava/util/Set;	3
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$FieldDescriptorProto$Builder.<init>(Lcom/google/protobuf/GeneratedMessage$BuilderParent;)V	1
cn.amazon.mShop.android	8.5.0.600	android.graphics.PathMeasure.setPath(Landroid/graphics/Path;Z)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.drive.metadata.internal.c.a(Lcom/google/android/gms/drive/metadata/internal/CustomProperty;Landroid/os/Parcel;I)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.AbstractParser.parseDelimitedFrom(Ljava/io/InputStream;Lcom/google/protobuf/ExtensionRegistryLite;)Lcom/google/protobuf/MessageLite;	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.auth.AccountChangeEventsResponse.<init>(ILjava/util/List;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.wearable.internal.ai.gf(I)[Lcom/google/android/gms/wearable/internal/ah;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.Fragment.onOptionsMenuClosed(Landroid/view/Menu;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.data.s.bw(Landroid/os/Parcel;)Lcom/google/android/gms/fitness/data/Subscription;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.BackStackRecord.setNameOverride(Landroid/support/v4/util/ArrayMap;Ljava/lang/String;Ljava/lang/String;)V	5
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.ActionMenuView.getMenu()Landroid/view/Menu;	4
cn.amazon.mShop.android	8.5.0.600	android.support.v4.widget.NestedScrollView.pageScroll(I)Z	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.lv$a.<init>(Lcom/google/android/gms/internal/lv$1;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.data.k$a.an(Landroid/os/IBinder;)Lcom/google/android/gms/fitness/data/k;	3
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView$ItemAnimator.recordPostLayoutInformation(Landroid/support/v7/widget/RecyclerView$State;Landroid/support/v7/widget/RecyclerView$ViewHolder;)Landroid/support/v7/widget/RecyclerView$ItemAnimator$ItemHolderInfo;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.view.accessibility.AccessibilityNodeInfoCompat$AccessibilityNodeInfoIcsImpl.<init>()V	2
cn.amazon.mShop.android	8.5.0.600	android.graphics.drawable.BitmapDrawable.draw(Landroid/graphics/Canvas;)V	3
cn.amazon.mShop.android	8.5.0.600	android.view.MotionEvent.recycle()V	10
cn.amazon.mShop.android	8.5.0.600	android.view.VelocityTracker.computeCurrentVelocity(I)V	4
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.request.j.getVersionCode()I	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.location.GeofencingEvent.getErrorCode()I	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.plus.internal.h.nm()Ljava/lang/String;	1
cn.amazon.mShop.android	8.5.0.600	android.view.ViewGroup.getChildCount()I	221
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.CollapsingToolbarLayout.getHeightWithMargins(Landroid/view/View;)I	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.internal.c.<init>(Landroid/app/Activity;Landroid/content/Intent;I)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.api.b.a(Lcom/google/android/gms/common/api/b;I)V	1
cn.amazon.mShop.android	8.5.0.600	com.android.volley.toolbox.ImageLoader$ImageContainer.getBitmap()Landroid/graphics/Bitmap;	4
