id	app	version	sdk_min	sdk_trg	check	method	apis	message	modified_files
1	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 21	amazon.android.dexload.ApkRootDexFileLoader.getDexFileList()Ljava/util/List;	android.util.Log.d(Ljava/lang/String;Ljava/lang/String;)I		0
3	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 21	amazon.android.dexload.ApkRootDexFileLoader.getDexFileList()Ljava/util/List;			0
5	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 21	amazon.android.dexload.ApkRootDexFileLoader.isDexFileAvailable(Ljava/lang/String;)Z			0
7	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 21	amazon.android.dexload.ApkRootDexFileLoader.isDexFileAvailable(Ljava/lang/String;)Z			0
9	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 14	amazon.android.dexload.SupplementalDexLoader.updateClassLoader(Landroid/content/Context;Lamazon/android/dexload/SupplementalDexLoader$MultiThreaded;Ljava/util/List;Z)V	android.content.pm.PackageManager.getApplicationInfo(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;&android.content.Context.getDir(Ljava/lang/String;I)Ljava/io/File;&android.content.Context.getPackageName()Ljava/lang/String;&android.content.Context.getClassLoader()Ljava/lang/ClassLoader;&dalvik.system.DexFile.loadDex(Ljava/lang/String;Ljava/lang/String;I)Ldalvik/system/DexFile;&android.content.SharedPreferences.getLong(Ljava/lang/String;J)J&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.content.Context.getSharedPreferences(Ljava/lang/String;I)Landroid/content/SharedPreferences;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I		0
11	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 14	amazon.android.dexload.SupplementalDexLoader.updateClassLoader(Landroid/content/Context;Lamazon/android/dexload/SupplementalDexLoader$MultiThreaded;Ljava/util/List;Z)V	android.content.pm.PackageManager.getApplicationInfo(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;&android.util.Log.v(Ljava/lang/String;Ljava/lang/String;)I&android.content.Context.getPackageName()Ljava/lang/String;&android.content.SharedPreferences$Editor.putLong(Ljava/lang/String;J)Landroid/content/SharedPreferences$Editor;&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.content.SharedPreferences.edit()Landroid/content/SharedPreferences$Editor;&android.content.Context.getDir(Ljava/lang/String;I)Ljava/io/File;&android.content.Context.getClassLoader()Ljava/lang/ClassLoader;&dalvik.system.DexFile.loadDex(Ljava/lang/String;Ljava/lang/String;I)Ldalvik/system/DexFile;&android.content.SharedPreferences$Editor.commit()Z&android.content.SharedPreferences.getLong(Ljava/lang/String;J)J&android.content.Context.getSharedPreferences(Ljava/lang/String;I)Landroid/content/SharedPreferences;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I		0
13	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 11	com.a9.cameralibrary.FragmentA9CameraPreview$MyPictureCallback.onPictureTaken([BLandroid/hardware/Camera;)V	android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I		0
15	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 11	com.a9.cameralibrary.FragmentA9CameraPreview$MyPictureCallback.onPictureTaken([BLandroid/hardware/Camera;)V	android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I		0
17	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 14	com.a9.cameralibrary.FragmentA9CameraPreview.setFocusArea()V	android.hardware.Camera$Parameters.getMaxNumFocusAreas()I&android.graphics.Rect.<init>(IIII)V&android.hardware.Camera$Parameters.setFocusAreas(Ljava/util/List;)V&android.hardware.Camera$Area.<init>(Landroid/graphics/Rect;I)V&android.hardware.Camera.setParameters(Landroid/hardware/Camera$Parameters;)V		0
19	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 14	com.a9.cameralibrary.FragmentA9CameraPreview.setFocusArea()V			0
